frame,gridx,gridy,hand_value
810,3,1,2.0102516832466134e-11
810,3,2,9.626892453084081e-05
810,3,3,0.041775508600064716
810,3,4,0.07111865611984376
810,3,5,0.0008358400953525695
810,3,6,2.011984827294227e-09
810,4,1,7.229072626565433e-12
810,4,2,3.404132762575713e-05
810,4,3,0.00976175428563377
810,4,4,0.005901510403278725
810,4,5,0.000792495373694664
810,4,6,2.217023209359295e-05
810,5,1,5.0274156838495894e-14
810,5,2,4.020185762538049e-06
810,5,3,0.014287790072055577
810,5,4,0.11117461376367656
810,5,5,0.029806523104953995
810,5,6,7.776825641017985e-05
810,6,1,2.197035594050615e-15
810,6,2,2.0056051738913706e-07
810,6,3,0.0010176149452902205
810,6,4,0.0612305505830438
810,6,5,0.049717559854707945
810,6,6,7.018755424848447e-05
810,7,1,1.2297982834380606e-23
810,7,2,3.785965956876609e-15
810,7,3,2.522632892331613e-07
810,7,4,0.0012919857606899909
810,7,5,0.003179269072115135
810,7,6,1.371553913796581e-05
810,8,1,8.822944864694121e-37
810,8,2,3.490809359295324e-23
810,8,3,2.1508565459247175e-14
810,8,4,3.4144629885704464e-10
810,8,5,1.5095249617440267e-09
810,8,6,1.3870044884446557e-11
870,1,1,1.0141189678392471e-22
870,1,2,2.4376957384056893e-13
870,1,3,2.7504853265473083e-08
870,1,4,4.3793228860920986e-07
870,1,5,2.653635228059376e-08
870,1,6,4.557571110664666e-13
870,2,1,1.6036585860065376e-15
870,2,2,3.153268005608953e-07
870,2,3,0.0039074622249800845
870,2,4,0.03698032837336198
870,2,5,0.0015004845278205512
870,2,6,1.6334050570285928e-08
870,3,1,7.648965596399254e-14
870,3,2,6.633951437012149e-06
870,3,3,0.019409727493064792
870,3,4,0.05491486710080449
870,3,5,0.0011154256543304173
870,3,6,1.641864028331369e-08
870,4,1,3.576287601474521e-15
870,4,2,1.0655680758006719e-07
870,4,3,0.00014545133523091462
870,4,4,0.0007881583753006258
870,4,5,0.015836656468526514
870,4,6,0.0018579025762889667
870,5,1,4.00239885908495e-20
870,5,2,1.8218349705579523e-10
870,5,3,0.00011819506046155311
870,5,4,0.030961086683797306
870,5,5,0.059159565175335195
870,5,6,0.0024929413694143115
870,6,1,2.3555893900071494e-19
870,6,2,1.967074754385767e-09
870,6,3,0.0006709101638809247
870,6,4,0.0491250543491786
870,6,5,0.10662308658554831
870,6,6,0.0015535964099510713
870,7,1,1.9611697373346967e-22
870,7,2,2.7841962226299596e-12
870,7,3,8.466290813013086e-07
870,7,4,0.002162516408053419
870,7,5,0.0193460275863274
870,7,6,0.0003835456412884946
870,8,1,3.94584144049688e-33
870,8,2,8.147781735595097e-23
870,8,3,4.526395347726914e-14
870,8,4,3.3488044743670543e-09
870,8,5,3.047694962391597e-08
870,8,6,6.083775981273797e-10
930,1,1,3.218719749644773e-28
930,1,2,1.407503828595866e-20
